No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
23,Anthony Davis,PF,6-10,253,March 11 1993,us,5,University of Kentucky
0,DeMarcus Cousins,C,6-11,270,August 13 1990,us,7,University of Kentucky
42,Alexis Ajinca,C,7-2,248,May 6 1988,fr,7,
3,Omer Asik,C,7-0,255,July 4 1986,tr,7,
55,E'Twaun Moore,SG,6-4,191,February 28 1989,us,6,Purdue University
13,Cheick Diallo,PF,6-9,220,September 13 1996,ml,1,University of Kansas
44,Solomon Hill,F,6-7,225,March 18 1991,us,4,University of Arizona
11,Jrue Holiday,PG,6-4,205,June 12 1990,us,8,University of California Los Angeles
15,Frank Jackson,G,6-4,202,May 4 1998,us,R,Duke University
9,Rajon Rondo,PG,6-1,186,February 22 1986,us,11,University of Kentucky
21,Darius Miller,SF,6-8,235,March 21 1990,us,3,University of Kentucky
2,Ian Clark,SG,6-3,175,March 7 1991,us,4,Belmont University
24,Tony Allen,SF,6-4,213,January 11 1982,us,13,Oklahoma State University
33,Dante Cunningham,SF,6-8,230,April 22 1987,us,8,Villanova University
14,Jameer Nelson,PG,6-0,190,February 9 1982,us,13,Saint Joseph's University